,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.1966066837310791,0.008684449255135885,0.01938018798828125,0.008505604401222201,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9238095238095239,0.9714285714285714,0.9760765550239234,0.9330143540669856,0.9569377990430622,0.9522533606744131,0.020670599846872716,103,0.94026284348865,0.956989247311828,0.9713603818615751,0.9403341288782816,0.9761336515513126,0.9570160506183294,0.015034624602809452
1,0.40375332832336425,0.017642328181787476,0.025513124465942384,0.01981576009704552,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9142857142857143,0.9666666666666667,0.9712918660287081,0.9473684210526315,0.9569377990430622,0.9513100934153564,0.02026380063254281,107,0.937873357228196,0.9689366786140979,0.9713603818615751,0.951073985680191,0.9785202863961814,0.9615529379560483,0.014893807299685652
2,0.75187668800354,0.0671062986096922,0.046741819381713866,0.01719914791399044,5,1,2,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.9380952380952381,0.9761904761904762,0.9712918660287081,0.9473684210526315,0.9569377990430622,0.9579767600820231,0.014268305536150926,99,0.959378733572282,0.973715651135006,0.9713603818615751,0.9570405727923628,0.977326968973747,0.9677644616669946,0.008063635314119322
3,0.9698894023895264,0.02865903510850738,0.036835002899169925,0.006060450835677693,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9523809523809523,0.9761904761904762,0.9712918660287081,0.9617224880382775,0.9569377990430622,0.9637047163362953,0.00884767843433065,94,0.965352449223417,0.9689366786140979,0.9713603818615751,0.9522673031026253,0.977326968973747,0.9670487563550925,0.008356612205174002
4,1.231161642074585,0.06480418524218466,0.05089240074157715,0.02121462319537752,5,1,2,250,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",0.9476190476190476,0.9761904761904762,0.9712918660287081,0.9617224880382775,0.9569377990430622,0.9627523353839142,0.010172443452376867,95,0.965352449223417,0.967741935483871,0.9701670644391408,0.9582338902147971,0.9785202863961814,0.9680031251514813,0.006600387383387655
5,0.267010498046875,0.10035519160113697,0.010801362991333007,0.0007488517900997313,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.919047619047619,0.9761904761904762,0.9760765550239234,0.9330143540669856,0.9569377990430622,0.9522533606744131,0.022957502927363874,103,0.94026284348865,0.9581839904420549,0.9689737470167065,0.9367541766109785,0.977326968973747,0.9563003453064273,0.015783132185851614
6,0.3073152542114258,0.017607165353076413,0.021622419357299805,0.007056943268911108,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.9142857142857143,0.9666666666666667,0.9712918660287081,0.9473684210526315,0.9569377990430622,0.9513100934153564,0.02026380063254281,107,0.9354838709677419,0.970131421744325,0.9701670644391408,0.951073985680191,0.9797136038186157,0.9613139893300028,0.015916799652915915
7,0.4484991550445557,0.021730315723408156,0.020595216751098634,0.002873937354311441,5,1,5,150,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.9380952380952381,0.9809523809523809,0.9712918660287081,0.9473684210526315,0.9569377990430622,0.9589291410344041,0.015553310045592116,98,0.9581839904420549,0.9713261648745519,0.9677804295942721,0.9570405727923628,0.977326968973747,0.9663316253353977,0.007754349133573359
8,0.6283149242401123,0.01234677336835333,0.024470710754394533,0.00337156417157834,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.9666666666666667,0.9809523809523809,0.9712918660287081,0.9617224880382775,0.9569377990430622,0.967514240145819,0.00825806230693272,88,0.9629629629629629,0.967741935483871,0.9653937947494033,0.9558472553699284,0.9761336515513126,0.9656159200234956,0.006597832191640893
9,0.7658220291137695,0.043513416138262824,0.029065561294555665,0.0034293204646244826,5,1,5,250,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 250}",0.9523809523809523,0.9761904761904762,0.9712918660287081,0.9569377990430622,0.9569377990430622,0.9627477785372521,0.009259485506856263,96,0.966547192353644,0.966547192353644,0.9689737470167065,0.9594272076372315,0.9785202863961814,0.9680031251514813,0.0061536758004809965
10,0.1786349296569824,0.027048808509006886,0.013931941986083985,0.0056335285673021615,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.9285714285714286,0.9809523809523809,0.9760765550239234,0.937799043062201,0.9569377990430622,0.9560674413305991,0.020543356426178407,100,0.9390681003584229,0.9689366786140979,0.9689737470167065,0.9522673031026253,0.977326968973747,0.9613145596131198,0.013783431379872061
