,accuracy,precision,recall,f1,roc,gini,speed
untuned,0.785,0.7816091954022989,0.9645390070921985,0.8634920634920635,0.8056256761630004,0.6112513523260008,3.5677342414855957
grid_search_tuned,0.77,0.7714285714285715,0.9574468085106383,0.8544303797468354,0.8025003005168891,0.6050006010337783,0.4847266674041748
random_search_tuned,0.785,0.788235294117647,0.950354609929078,0.8617363344051447,0.8183675922586849,0.6367351845173699,0.8055517673492432
bayes_opt_tuned,0.78,0.7771428571428571,0.9645390070921985,0.8607594936708861,0.805385262651761,0.610770525303522,2.244924783706665
hypergrad_tuned,0.745,0.7528089887640449,0.950354609929078,0.8401253918495298,0.7868734222863326,0.5737468445726652,1.2848355770111084
