,accuracy,precision,recall,f1,roc,gini,speed
0.001,0.725,0.7239583333333334,0.9858156028368794,0.8348348348348348,0.7451616780863085,0.490323356172617,3.69994854927063
0.005,0.755,0.7613636363636364,0.950354609929078,0.8454258675078864,0.7909604519774011,0.5819209039548021,3.411539316177368
0.01,0.78,0.7771428571428571,0.9645390070921985,0.8607594936708861,0.8128380815001801,0.6256761630003602,3.4649744033813477
0.05,0.755,0.7771084337349398,0.9148936170212766,0.8403908794788274,0.8199302800817407,0.6398605601634815,3.6660614013671875
0.1,0.79,0.7964071856287425,0.9432624113475178,0.8636363636363636,0.8046640221180431,0.6093280442360862,3.5911865234375
0.5,0.765,0.7797619047619048,0.9290780141843972,0.8478964401294499,0.7762952277918018,0.5525904555836036,3.3288938999176025
0.7,0.77,0.7950310559006211,0.9078014184397163,0.847682119205298,0.7982930640702007,0.5965861281404015,3.4140281677246094
1.0,0.73,0.7636363636363637,0.8936170212765957,0.8235294117647058,0.7729294386344512,0.5458588772689024,3.3721141815185547
